111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA2 AA                ;AAAAA-111      ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
111111111;869207;AAAAA AAAAAAAA           ;AAAAA AA                 ;AAAA-111       ;111111;1111.111-11 ;
